Name,Cancellations Total,Cancellations US,Delays Total,Delays US,Page Key,Parse Status,Snapshot GMT,Source URL,Target Date ET
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 07:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,713,173,20640,4289,today,success,2026年4月2日 07:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,176,37,1357,0,tomorrow,success,2026年4月2日 07:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,25,5,46,0,plus2days,success,2026年4月2日 07:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 07:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,717,176,20872,4434,today,success,2026年4月2日 07:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,179,38,1439,0,tomorrow,success,2026年4月2日 07:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,58,0,plus2days,success,2026年4月2日 07:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 07:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,720,179,21139,4590,today,success,2026年4月2日 07:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,183,40,1535,0,tomorrow,success,2026年4月2日 07:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,58,0,plus2days,success,2026年4月2日 07:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 08:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 08:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,726,181,21378,4736,today,success,2026年4月2日 08:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,183,40,1639,280,tomorrow,success,2026年4月2日 08:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,58,0,plus2days,success,2026年4月2日 08:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 08:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,729,182,21378,4736,today,success,2026年4月2日 08:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,194,40,1639,280,tomorrow,success,2026年4月2日 08:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,58,0,plus2days,success,2026年4月2日 08:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 08:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,730,183,21597,4865,today,success,2026年4月2日 08:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,194,40,1781,263,tomorrow,success,2026年4月2日 08:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,69,0,plus2days,success,2026年4月2日 08:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 08:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,733,185,21823,5011,today,success,2026年4月2日 08:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,202,47,1926,270,tomorrow,success,2026年4月2日 08:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,71,0,plus2days,success,2026年4月2日 08:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 09:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 09:01 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,738,187,21990,5109,today,success,2026年4月2日 09:01 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,205,47,2090,291,tomorrow,success,2026年4月2日 09:01 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,26,5,72,0,plus2days,success,2026年4月2日 09:01 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26281,5982,yesterday,success,2026年4月2日 09:15 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,741,189,21990,5109,today,success,2026年4月2日 09:15 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,211,47,2090,291,tomorrow,success,2026年4月2日 09:15 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,31,5,72,0,plus2days,success,2026年4月2日 09:15 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26282,5983,yesterday,success,2026年4月2日 09:30 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,747,193,22151,5198,today,success,2026年4月2日 09:30 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,215,50,2282,310,tomorrow,success,2026年4月2日 09:30 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,31,5,86,0,plus2days,success,2026年4月2日 09:30 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,1121,441,26282,5983,yesterday,success,2026年4月2日 09:45 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
2026-04-01 today,758,204,22350,5301,today,success,2026年4月2日 09:45 (GMT+8),https://www.flightaware.com/live/cancelled/today,2026年4月1日
2026-04-02 tomorrow,221,52,2447,326,tomorrow,success,2026年4月2日 09:45 (GMT+8),https://www.flightaware.com/live/cancelled/tomorrow,2026年4月2日
2026-04-03 plus2days,31,5,87,0,plus2days,success,2026年4月2日 09:45 (GMT+8),https://www.flightaware.com/live/cancelled/plus2days,2026年4月3日
2026-03-31 yesterday,,,,,yesterday,fetch_failed,2026年4月2日 10:00 (GMT+8),https://www.flightaware.com/live/cancelled/yesterday,2026年3月31日
